# ALPHA = 0.5
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Astrocytes (set)
# _SET1_  NGENES = 288
# _SET1_  P-VALUE = 0.0203568
_SET1_   GENE         CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   PRDM16         1    2950565    3365185   2814     314  218417     0.095616      0.68237    5.6534e-05     0.095559
_SET1_   ARHGEF10L      1   17811693   18034370   1143     123  207863     -0.70939      0.84046    5.6534e-05     -0.70945
_SET1_   ECE1           1   21533740   21707034    919     109  260390      0.83197      0.26471    5.6534e-05      0.83192
_SET1_   MACF1          1   39514839   39962810   1719      85  242150       1.3456      0.11436    5.6534e-05       1.3456
_SET1_   ECHDC2         1   53351582   53427846    240      55  177345       1.9014     0.047809    5.6534e-05       1.9013
_SET1_   ACOT11         1   54972930   55110417    866     106  248252    -0.099674      0.62509    5.6534e-05     -0.09973
_SET1_   PLPP3          1   56950419   57080257    665      77  258961      -2.2497      0.99079    5.6534e-05      -2.2498
_SET1_   NFIA           1   61507946   61938460   1940     219  235510     -0.35699      0.79658    5.6534e-05     -0.35705
_SET1_   DOCK7          1   62910397   63189039    855      48  189385      -1.8552      0.97308    5.6534e-05      -1.8552
_SET1_   CACHD1         1   64901476   65168741   1070     169  243045       1.1449      0.22514    5.6534e-05       1.1448
_SET1_   WLS            1   68554142   68733284   1067     131  289925      0.60742      0.34906    5.6534e-05      0.60737
_SET1_   BCAR3          1   94017343   94347706   1623      84  301325    0.0017763      0.53248    5.6534e-05    0.0017197
_SET1_   CNN3           1   95352507   95427735    404      73  316599      0.54253       0.3356    5.6534e-05      0.54248
_SET1_   AHCYL1         1  110492387  110576364    308      42  115300    -0.022815      0.59624    5.6534e-05    -0.022872
_SET1_   PDE4DIP        1  144841424  145111186     89      34   74990     -0.33402      0.74497    5.6534e-05     -0.33407
_SET1_   KCNN3          1  154659938  154877754    926     176  286850      0.97279      0.25202    5.6534e-05      0.97273
_SET1_   PBXIP1         1  154906553  154963624    176      58  214270       3.1717    0.0016655    5.6534e-05       3.1717
_SET1_   ATP1A2         1  160050520  160123381    346      52  282668      0.57738      0.30525    5.6534e-05      0.57733
_SET1_   PRRX1          1  170598313  170718541    521      75  236008     -0.88958      0.84948    5.6534e-05     -0.88964
_SET1_   NPL            1  182723584  182809519    357      67  200666     -0.25876      0.68988    5.6534e-05     -0.25881
_SET1_   C1orf21        1  184321150  184608155   1327      96  248387     -0.77332      0.82529    5.6534e-05     -0.77337
_SET1_   CRB1           1  197135592  197457585   1168     111  187871      -1.2225      0.92973    5.6534e-05      -1.2225
_SET1_   GPR37L1        1  202057029  202108634    316      60  249703     -0.49258      0.73293    5.6534e-05     -0.49264
_SET1_   ATP2B4         1  203560915  203723209    869     116  194321       -1.188      0.93082    5.6534e-05      -1.1881
_SET1_   PLXNA2         1  208185587  208452665   1413     153  250981      0.56708      0.38501    5.6534e-05      0.56702
_SET1_   CAPN2          1  223854295  223973720    650      59  267878     -0.50904      0.72517    5.6534e-05      -0.5091
_SET1_   ITPKB          1  226809391  226962028    587     103  207812       4.3443   2.1232e-05    5.6534e-05       4.3442
_SET1_   AGT            1  230828269  230885336    453      59  311558     -0.37505      0.66887    5.6534e-05     -0.37511
_SET1_   FMN2           1  240220185  240648491   2440     175  257750     -0.52143      0.78843    5.6534e-05     -0.52149
_SET1_   LPIN1          2   11782705   11977535   1098     142  251799      -1.2585      0.93706    5.6534e-05      -1.2586
_SET1_   RHOB           2   20611835   20659201    247      67  279212      0.49994      0.35302    5.6534e-05      0.49988
_SET1_   TOGARAM2       2   29169164   29285096    667      69  306172       2.0063     0.024273    5.6534e-05       2.0062
_SET1_   EFEMP1         2   56083097   56186298    536      65  267713     -0.68739      0.78998    5.6534e-05     -0.68744
_SET1_   ANTXR1         2   69205276   69486459   1589     129  232910      0.36862      0.45364    5.6534e-05      0.36856
_SET1_   SFXN5          2   73159165   73333965    657      76  223218     -0.19573      0.64566    5.6534e-05     -0.19578
_SET1_   CTNNA2         2   79705060   80885993   6098     386  250658       1.4363      0.17932    5.6534e-05       1.4362
_SET1_   TCF7L1         2   85325583   85547511   1134     102  319636     -0.40837      0.69226    5.6534e-05     -0.40843
_SET1_   NPAS2          2  101401613  101623289   1139     138  263006       1.5929     0.090285    5.6534e-05       1.5929
_SET1_   DPP10          2  115164899  116613328   6141     273  258590      0.95668      0.32022    5.6534e-05      0.95662
_SET1_   ARHGEF4        2  131559489  131814826   1175     125  241054       1.1087       0.1985    5.6534e-05       1.1086
_SET1_   FIGN           2  164451447  164627618    676     106  201496      -0.8907      0.87898    5.6534e-05     -0.89075
_SET1_   DNAH7          2  196592427  196968536   1638      70  219811        1.025      0.18365    5.6534e-05        1.025
_SET1_   PARD3B         2  205375516  206494886   5248     272  229659     -0.60757      0.87387    5.6534e-05     -0.60762
_SET1_   ERBB4          2  212230442  213438879   6954     325  274273       0.7576      0.38585    5.6534e-05      0.75754
_SET1_   SERPINE2       2  224829765  224939036    638      78  239655       1.3717      0.10841    5.6534e-05       1.3716
_SET1_   IQCA1          2  237222790  237451178    998      86  213402       1.1797      0.16111    5.6534e-05       1.1797
_SET1_   RAMP1          2  238733187  238830756    579     115  237864      0.72821      0.31737    5.6534e-05      0.72816
_SET1_   ATP2B2         3   10355707   10768131   2368     212  275620      0.20242      0.57111    5.6534e-05      0.20236
_SET1_   SLC6A11        3   10822917   10990146    866      84  278991     -0.76789      0.80939    5.6534e-05     -0.76795
_SET1_   CTDSPL         3   37868669   38035960    705      87  220687      -0.8429      0.86079    5.6534e-05     -0.84296
_SET1_   TRAK1          3   42020294   42277382   1265      98  267811      0.20249      0.46976    5.6534e-05      0.20243
_SET1_   PLXNB1         3   48435261   48506460    187      36  218226       1.9145     0.032979    5.6534e-05       1.9145
_SET1_   CACNA2D3       3   54121620   55118584   5329     364  243333      -1.2603      0.96255    5.6534e-05      -1.2603
_SET1_   LRIG1          3   66419221   66586446    929     101  182013      -1.5733      0.96657    5.6534e-05      -1.5733
_SET1_   PDZRN3         3   73421582   73709072   1450     169  234765       2.0315     0.043976    5.6534e-05       2.0315
_SET1_   BOC            3  112894850  113016306    698      90  264110     -0.69976       0.8037    5.6534e-05     -0.69982
_SET1_   GRAMD1C        3  113522671  113676021    538      82  246592     0.015061      0.54911    5.6534e-05     0.015005
_SET1_   LSAMP          3  115511210  116199385   2965     184  254500        1.323      0.16372    5.6534e-05        1.323
_SET1_   ARHGAP31       3  118978220  119148323    990     103  289445      0.37495      0.41329    5.6534e-05      0.37489
_SET1_   KALRN          3  123778558  124450036   3535     190  261254     -0.35965      0.75082    5.6534e-05     -0.35971
_SET1_   OSBPL11        3  125237702  125349381    590      45  312539    -0.075672      0.53574    5.6534e-05    -0.075729
_SET1_   ALDH1L1        3  125812404  125935029    857      88  287777      0.26369      0.42149    5.6534e-05      0.26364
_SET1_   MRAS           3  138031490  138134377    445      53  213284      0.14654      0.49078    5.6534e-05      0.14648
_SET1_   PLOD2          3  145777225  145914282    587      40  285016      -1.1902      0.87023    5.6534e-05      -1.1902
_SET1_   PLSCR4         3  145900122  146003966    632      51  271356      0.81333      0.22262    5.6534e-05      0.81328
_SET1_   MED12L         3  150768452  151164465   1909     114  248675       4.8099   1.8267e-06    5.6534e-05       4.8098
_SET1_   ARHGEF26       3  153803792  153985616    728      63  278681     -0.36164      0.66664    5.6534e-05      -0.3617
_SET1_   SERPINI2       3  167149577  167231732    379      42  275738     -0.76147      0.78564    5.6534e-05     -0.76153
_SET1_   WDR49          3  167186289  167406747    865      93  183131     -0.45635      0.75324    5.6534e-05     -0.45641
_SET1_   TNIK           3  170770292  171213197   2048     223  259152       1.7453     0.092216    5.6534e-05       1.7452
_SET1_   FNDC3B         3  171722418  172128493   1843     219  245267       2.6736     0.011937    5.6534e-05       2.6735
_SET1_   DGKG           3  185842896  186115023   1245     238  233836       1.1654      0.24977    5.6534e-05       1.1653
_SET1_   BCL6           3  187429165  187498513    322      69  277055     -0.45167      0.72405    5.6534e-05     -0.45173
_SET1_   ATP13A4        3  193109866  193307810    938     109  246305     -0.60083      0.78696    5.6534e-05     -0.60089
_SET1_   FGFR3          4    1760039    1820599    349      90  175090      0.45177       0.4447    5.6534e-05      0.45171
_SET1_   NAT8L          4    2026239    2080816    184      58  179958     -0.63224      0.81849    5.6534e-05     -0.63229
_SET1_   ADGRA3         4   22378997   22552677   1124     102  265433      0.99794      0.20429    5.6534e-05      0.99789
_SET1_   IGFBP7         4   57887237   58011551    741      86  338103     -0.13571      0.57639    5.6534e-05     -0.13577
_SET1_   SLC4A4         4   72018003   72447804   1574     140  212104       1.1034      0.21746    5.6534e-05       1.1034
_SET1_   MAPK10         4   86923452   87409283   2042     113  280051      0.48124       0.3738    5.6534e-05      0.48118
_SET1_   PTPN13         4   87480468   87746332   1051      39  312312     -0.55846      0.70236    5.6534e-05     -0.55851
_SET1_   SPARCL1        4   88384483   88485798    551      52  277502        1.113      0.13342    5.6534e-05       1.1129
_SET1_   PDLIM5         4   95338008   95599378   1180      85  215537     -0.70657      0.79743    5.6534e-05     -0.70662
_SET1_   BMPR1B         4   95644128   96089601   2179     128  283125     -0.59938      0.77417    5.6534e-05     -0.59943
_SET1_   ETNPPL         4  109653196  109719235    351      54  266874     -0.83416      0.82261    5.6534e-05     -0.83422
_SET1_   FGF2           4  123712568  123829390    664      78  290802      -1.1819      0.90842    5.6534e-05       -1.182
_SET1_   SLC7A11        4  139075248  139198572    586      80  237311      0.66355      0.29732    5.6534e-05      0.66349
_SET1_   DCLK2          4  150964426  151188609   1121      78  262848       1.5776     0.067635    5.6534e-05       1.5776
_SET1_   CPE            4  166265097  166429482   1024      61  302821      -1.2551      0.89051    5.6534e-05      -1.2552
_SET1_   PALLD          4  169383215  169859608   2574     230  253374     -0.82441      0.89287    5.6534e-05     -0.82447
