# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE         CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
SAMD11         1     824993     889961    423      60  190756      0.47154    5.6534e-05      0.47148
KLHL17         1     860967     911099    354      54  173106     -0.26066    5.6534e-05     -0.26072
PLEKHN1        1     866872     920488    366      69  183866      -0.1048    5.6534e-05     -0.10485
NOC2L          1     869583     929679    403      71  201673    -0.074284    5.6534e-05    -0.074341
PERM1          1     900579     952473    343      55  230172      0.51329    5.6534e-05      0.51323
ISG15          1     913847     959920    308      38  234381      0.39048    5.6534e-05      0.39042
AGRN           1     920503    1001499    540      65  194908      0.11701    5.6534e-05      0.11695
HES4           1     924342     971608    285      39  224382      0.18172    5.6534e-05      0.18166
RNF223         1     997126    1044687    250      56  223627    -0.035594    5.6534e-05     -0.03565
C1orf159       1    1007198    1086736    465      61  249854      0.19573    5.6534e-05      0.19568
TTLL10         1    1074286    1143315    515      75  240509      -1.1536    5.6534e-05      -1.1537
TNFRSF18       1    1128888    1177163    348      39  276549     0.032321    5.6534e-05     0.032264
B3GALT6        1    1132629    1180421    335      34  275788      0.10936    5.6534e-05       0.1093
TNFRSF4        1    1136706    1184703    324      28  276008     0.076726    5.6534e-05     0.076669
SDF4           1    1142288    1202447    384      44  284745     0.062397    5.6534e-05     0.062341
C1QTNF12       1    1167826    1217102    282      43  273994  -0.00018584    5.6534e-05  -0.00024237
UBE2J2         1    1179292    1244234    373      59  236851        -0.48    5.6534e-05     -0.48006
SCNN1D         1    1180816    1237409    321      49  237829     -0.28751    5.6534e-05     -0.28757
PUSL1          1    1208962    1257057    297      55  193621     -0.48595    5.6534e-05       -0.486
ACAP3          1    1217764    1278304    377      65  175605      0.32614    5.6534e-05      0.32608
CPTP           1    1225136    1274276    312      58  169482      0.29301    5.6534e-05      0.29295
TAS1R3         1    1231726    1279844    298      51  168706      0.50013    5.6534e-05      0.50007
INTS11         1    1236965    1295067    343      47  179556      0.47736    5.6534e-05      0.47731
DVL1           1    1260658    1319509    394      44  243381       0.4287    5.6534e-05      0.42864
MXRA8          1    1278071    1332183    320      37  244456      0.20045    5.6534e-05       0.2004
AURKAIP1       1    1299110    1345818    271      38  255422     0.033769    5.6534e-05     0.033712
CCNL2          1    1311091    1369718    339      49  212739      0.37188    5.6534e-05      0.37183
TMEM88B        1    1326508    1373167    269      45  200659      0.20895    5.6534e-05       0.2089
MRPL20         1    1327276    1377693    292      41  201767      0.22017    5.6534e-05      0.22011
VWA1           1    1335903    1388262    302      50  192762     0.016694    5.6534e-05     0.016638
ATAD3C         1    1343152    1415538    397      68  136677      0.24268    5.6534e-05      0.24262
ANKRD65        1    1343800    1391824    285      47  172702    -0.050994    5.6534e-05    -0.051051
ATAD3B         1    1372139    1454852    418      61   74990      0.49702    5.6534e-05      0.49696
ATAD3A         1    1412523    1480067    375      52  101776      0.38969    5.6534e-05      0.38963
TMEM240        1    1460158    1510740    246      48  213996   0.00089606    5.6534e-05   0.00083953
SSU72          1    1467053    1545262    371      57  205255     -0.48474    5.6534e-05      -0.4848
MIB2           1    1515795    1575990    236      53  146479        -1.15    5.6534e-05        -1.15
FNDC10         1    1523388    1570476    183      39  164128     -0.94104    5.6534e-05      -0.9411
MMP23B         1    1532060    1580030    146      37  176108     -0.98444    5.6534e-05     -0.98449
CDK11B         1    1561100    1625473    167      49  143226      -1.6657    5.6534e-05      -1.6658
SLC35E2B       1    1581486    1659243    227      57  117845     -0.19687    5.6534e-05     -0.19692
CDK11A         1    1623822    1690999    211      45  119711       1.4886    5.6534e-05       1.4885
SLC35E2A       1    1646277    1712438    272      45  156356       1.1185    5.6534e-05       1.1185
NADK           1    1672671    1746508    281      53  194000      0.28705    5.6534e-05        0.287
GNB1           1    1706725    1857552    572      72  197311      0.27334    5.6534e-05      0.27329
CALML6         1    1811266    1858733    225      48  219202      0.40732    5.6534e-05      0.40727
TMEM52         1    1839029    1885740    287      33  240097     -0.37668    5.6534e-05     -0.37674
CFAP74         1    1843390    1970276    799      89  219346      -1.0854    5.6534e-05      -1.0855
GABRD          1    1915768    1972192    323      67  185224     -0.79293    5.6534e-05     -0.79299
PRKCZ          1    1946909    2126834   1030     106  209338      0.20866    5.6534e-05       0.2086
FAAP20         1    2105899    2179159    318      81  216555     -0.95767    5.6534e-05     -0.95773
SKI            1    2125134    2251652    614     111  215136      -1.0402    5.6534e-05      -1.0403
MORN1          1    2241719    2358190    721     128  263566    -0.081072    5.6534e-05    -0.081128
RER1           1    2288214    2346883    310      78  255825      0.84621    5.6534e-05      0.84615
PEX10          1    2326241    2379010    321      91  235897       1.6465    5.6534e-05       1.6465
PLCH2          1    2372754    2446964    473      94  217909       2.2883    5.6534e-05       2.2882
PANK4          1    2429975    2493061    346      57  207728       0.3907    5.6534e-05      0.39064
