Gene stable ID	Gene name	Gene % GC content	Gene type	HGNC symbol
ENSG00000210049	MT-TF	40.85	Mt_tRNA	MT-TF
ENSG00000211459	MT-RNR1	45.49	Mt_rRNA	MT-RNR1
ENSG00000210077	MT-TV	42.03	Mt_tRNA	MT-TV
ENSG00000210082	MT-RNR2	42.81	Mt_rRNA	MT-RNR2
ENSG00000209082	MT-TL1	38.67	Mt_tRNA	MT-TL1
ENSG00000198888	MT-ND1	47.70	protein_coding	MT-ND1
ENSG00000210100	MT-TI	28.99	Mt_tRNA	MT-TI
ENSG00000210107	MT-TQ	48.61	Mt_tRNA	MT-TQ
ENSG00000210112	MT-TM	45.59	Mt_tRNA	MT-TM
ENSG00000198763	MT-ND2	42.99	protein_coding	MT-ND2
ENSG00000210117	MT-TW	35.29	Mt_tRNA	MT-TW
ENSG00000210127	MT-TA	43.48	Mt_tRNA	MT-TA
ENSG00000210135	MT-TN	41.10	Mt_tRNA	MT-TN
ENSG00000210140	MT-TC	45.45	Mt_tRNA	MT-TC
ENSG00000210144	MT-TY	42.42	Mt_tRNA	MT-TY
ENSG00000198804	MT-CO1	46.24	protein_coding	MT-CO1
ENSG00000210151	MT-TS1	49.28	Mt_tRNA	MT-TS1
ENSG00000210154	MT-TD	23.53	Mt_tRNA	MT-TD
ENSG00000198712	MT-CO2	46.20	protein_coding	MT-CO2
ENSG00000210156	MT-TK	32.86	Mt_tRNA	MT-TK
ENSG00000228253	MT-ATP8	39.61	protein_coding	MT-ATP8
ENSG00000198899	MT-ATP6	44.20	protein_coding	MT-ATP6
ENSG00000198938	MT-CO3	46.56	protein_coding	MT-CO3
ENSG00000210164	MT-TG	26.47	Mt_tRNA	MT-TG
ENSG00000198840	MT-ND3	40.17	protein_coding	MT-ND3
ENSG00000210174	MT-TR	23.08	Mt_tRNA	MT-TR
ENSG00000212907	MT-ND4L	43.10	protein_coding	MT-ND4L
ENSG00000198886	MT-ND4	44.27	protein_coding	MT-ND4
ENSG00000210176	MT-TH	36.23	Mt_tRNA	MT-TH
ENSG00000210184	MT-TS2	45.76	Mt_tRNA	MT-TS2
ENSG00000210191	MT-TL2	35.21	Mt_tRNA	MT-TL2
ENSG00000198786	MT-ND5	44.92	protein_coding	MT-ND5
ENSG00000198695	MT-ND6	42.67	protein_coding	MT-ND6
ENSG00000210194	MT-TE	39.13	Mt_tRNA	MT-TE
ENSG00000198727	MT-CYB	46.28	protein_coding	MT-CYB
ENSG00000210195	MT-TT	37.88	Mt_tRNA	MT-TT
ENSG00000210196	MT-TP	33.82	Mt_tRNA	MT-TP
ENSG00000280805	LINC02833	46.88	lncRNA	LINC02833
ENSG00000273707	CDKN1C	67.48	protein_coding	CDKN1C
ENSG00000169926	KLF13	49.38	protein_coding	KLF13
ENSG00000275543	MPV17L	44.78	protein_coding	MPV17L
ENSG00000281811	LINC02287	51.96	lncRNA	LINC02287
ENSG00000259179	UBE2CP4	50.28	processed_pseudogene	UBE2CP4
ENSG00000249099	AC025475.1	33.67	lncRNA	
ENSG00000277140	MARF1	44.19	protein_coding	MARF1
ENSG00000277114	CNOT3	57.88	protein_coding	CNOT3
ENSG00000278961	SMIM34B	41.95	protein_coding	SMIM34B
ENSG00000286204	AC025475.2	40.36	lncRNA	
ENSG00000248426	AC113347.2	59.14	processed_pseudogene	
ENSG00000276289	KCNE1B	48.09	protein_coding	KCNE1B
ENSG00000230571	AC113347.1	63.17	processed_pseudogene	
ENSG00000259696	AC104759.1	54.10	processed_pseudogene	
ENSG00000250703	AC113347.3	36.49	processed_pseudogene	
ENSG00000249616	CCNB3P1	46.26	processed_pseudogene	CCNB3P1
ENSG00000251033	AC113347.4	33.60	lncRNA	
ENSG00000282450	AC012676.7	45.30	lncRNA	
ENSG00000276726	DNAJA3	49.02	protein_coding	DNAJA3
ENSG00000278409	CU467002.1	56.50	lncRNA	
ENSG00000277808	LENG1	54.89	protein_coding	LENG1
ENSG00000276537	TTYH1	58.86	protein_coding	TTYH1
ENSG00000214124	SNRPEP9	43.28	processed_pseudogene	SNRPEP9
ENSG00000276781	CHGA	56.35	protein_coding	CHGA
ENSG00000067992	PDK3	40.80	protein_coding	PDK3
ENSG00000282314	AC243742.2	39.38	lncRNA	
ENSG00000278823	BMERB1	45.92	protein_coding	BMERB1
ENSG00000262510	AP000705.5	37.38	lncRNA	
ENSG00000262752	AP000705.6	40.98	processed_pseudogene	
ENSG00000261847	AP000705.3	52.57	processed_pseudogene	
ENSG00000262476	AP000705.4	37.36	lncRNA	
ENSG00000263141	PAXBP1	50.76	protein_coding	PAXBP1
ENSG00000166492	FAM86GP	53.45	unprocessed_pseudogene	FAM86GP
ENSG00000282374	AC012676.6	43.55	processed_pseudogene	
ENSG00000282590	AC012676.8	43.81	lncRNA	
ENSG00000275363	AC100757.3	41.56	unprocessed_pseudogene	
ENSG00000113100	CDH9	34.23	protein_coding	CDH9
ENSG00000282074	AC243733.1	44.77	protein_coding	
ENSG00000254757	AC127526.1	45.49	lncRNA	
ENSG00000284639	AP006294.2	72.73	transcribed_unprocessed_pseudogene	
ENSG00000277789	TMC4	56.20	protein_coding	TMC4
ENSG00000237226	RPS3AP39	39.35	processed_pseudogene	RPS3AP39
ENSG00000249160	LINC02213	46.23	lncRNA	LINC02213
ENSG00000281296	AC246793.2	46.45	lncRNA	
ENSG00000255367	AC127526.2	45.21	lncRNA	
ENSG00000287906	AC127526.5	44.62	lncRNA	
ENSG00000275013	PRAME	50.06	protein_coding	PRAME
ENSG00000223688	RPS24P14	42.90	processed_pseudogene	RPS24P14
ENSG00000188124	OR2AG2	39.84	protein_coding	OR2AG2
ENSG00000284605	AC127526.3	45.75	transcribed_unprocessed_pseudogene	
ENSG00000287312	AC127526.4	44.46	lncRNA	
ENSG00000255522	SNRPCP5	61.38	processed_pseudogene	SNRPCP5
ENSG00000217862	HIST1H4PS1	54.34	processed_pseudogene	HIST1H4PS1
ENSG00000279486	OR2AG1	38.40	protein_coding	OR2AG1
ENSG00000106460	TMEM106B	34.58	protein_coding	TMEM106B
ENSG00000115137	DNAJC27	40.71	protein_coding	DNAJC27
ENSG00000279493	FP565260.4	60.50	protein_coding	
ENSG00000277865	GOLGA6L22	50.94	protein_coding	GOLGA6L22
ENSG00000169918	OTUD7A	43.36	protein_coding	OTUD7A
ENSG00000263140	C21orf62-AS1	41.07	lncRNA	C21orf62-AS1
ENSG00000186297	GABRA5	43.45	protein_coding	GABRA5
ENSG00000271855	AC073195.1	60.09	lncRNA	
ENSG00000134330	IAH1	45.86	protein_coding	IAH1
ENSG00000282789	CRYZP1	39.60	processed_pseudogene	CRYZP1
ENSG00000259358	AC026951.1	37.29	processed_pseudogene	
ENSG00000282463	AC216130.2	51.10	processed_pseudogene	
ENSG00000277500	AC026951.2	38.17	unprocessed_pseudogene	
ENSG00000254793	FDPSP4	50.91	processed_pseudogene	FDPSP4
ENSG00000282813	ARMC10	38.13	protein_coding	ARMC10
ENSG00000224165	DNAJC27-AS1	45.17	lncRNA	DNAJC27-AS1
ENSG00000248490	AC113355.1	34.15	lncRNA	
ENSG00000178503	NECAP1P1	48.31	processed_pseudogene	NECAP1P1
ENSG00000250337	PURPL	34.23	lncRNA	PURPL
ENSG00000234127	TRIM26	46.90	protein_coding	TRIM26
ENSG00000237953	AC013267.1	40.45	processed_pseudogene	
ENSG00000251215	GOLGA5P1	42.54	processed_pseudogene	GOLGA5P1
ENSG00000286645	AC013267.2	46.76	lncRNA	
ENSG00000082074	FYB1	37.96	protein_coding	FYB1
ENSG00000262938	C21orf62	44.04	protein_coding	C21orf62
ENSG00000230780	OR11A1	39.09	protein_coding	OR11A1
ENSG00000271586	AC011894.1	53.95	processed_pseudogene	
ENSG00000280072	AP000280.2	37.98	TEC	
ENSG00000285999	AC025442.2	35.94	lncRNA	
ENSG00000224234	OR10C1	50.06	protein_coding	OR10C1
ENSG00000275723	NAPEPLD	40.37	protein_coding	NAPEPLD
